country,year,age,sex,suicides_no,population,suicide_rate
Albania,1985,15-24 years,female,,277900.0,
Albania,1985,25-34 years,female,,246800.0,
Albania,1985,35-54 years,female,,267500.0,
Albania,1985,5-14 years,female,,298300.0,
Albania,1985,55-74 years,female,,138700.0,
Albania,1985,75+ years,female,,34200.0,
Albania,1985,15-24 years,male,,301400.0,
Albania,1985,25-34 years,male,,264200.0,
Albania,1985,35-54 years,male,,296700.0,
Albania,1985,5-14 years,male,,325800.0,
Albania,1985,55-74 years,male,,132500.0,
Albania,1985,75+ years,male,,21100.0,
Albania,1986,15-24 years,female,,283900.0,
Albania,1986,25-34 years,female,,252100.0,
Albania,1986,35-54 years,female,,273200.0,
Albania,1986,5-14 years,female,,304700.0,
Albania,1986,55-74 years,female,,141700.0,
Albania,1986,75+ years,female,,34900.0,
Albania,1986,15-24 years,male,,306700.0,
Albania,1986,25-34 years,male,,269000.0,
Albania,1986,35-54 years,male,,302000.0,
Albania,1986,5-14 years,male,,331600.0,
Albania,1986,55-74 years,male,,134800.0,
Albania,1986,75+ years,male,,21400.0,
Albania,1987,15-24 years,female,14.0,289700.0,4.8325854332067655
Albania,1987,25-34 years,female,4.0,257200.0,1.5552099533437014
Albania,1987,35-54 years,female,6.0,278800.0,2.1520803443328553
Albania,1987,5-14 years,female,0.0,311000.0,0.0
Albania,1987,55-74 years,female,0.0,144600.0,0.0
Albania,1987,75+ years,female,1.0,35600.0,2.808988764044944
Albania,1987,15-24 years,male,21.0,312900.0,6.711409395973154
Albania,1987,25-34 years,male,9.0,274300.0,3.2810791104629966
Albania,1987,35-54 years,male,16.0,308000.0,5.194805194805195
Albania,1987,5-14 years,male,0.0,338200.0,0.0
Albania,1987,55-74 years,male,1.0,137500.0,0.7272727272727272
Albania,1987,75+ years,male,1.0,21800.0,4.587155963302752
Albania,1988,15-24 years,female,8.0,295600.0,2.706359945872801
Albania,1988,25-34 years,female,5.0,262400.0,1.9054878048780488
Albania,1988,35-54 years,female,4.0,284500.0,1.40597539543058
Albania,1988,5-14 years,female,0.0,317200.0,0.0
Albania,1988,55-74 years,female,3.0,147500.0,2.0338983050847457
Albania,1988,75+ years,female,2.0,36400.0,5.4945054945054945
Albania,1988,15-24 years,male,17.0,319200.0,5.325814536340852
Albania,1988,25-34 years,male,5.0,279900.0,1.7863522686673812
Albania,1988,35-54 years,male,14.0,314100.0,4.457179242279529
Albania,1988,5-14 years,male,0.0,345000.0,0.0
Albania,1988,55-74 years,male,4.0,140200.0,2.8530670470756063
Albania,1988,75+ years,male,1.0,22300.0,4.484304932735426
Albania,1989,15-24 years,female,5.0,299900.0,1.6672224074691564
Albania,1989,25-34 years,female,2.0,266300.0,0.7510326699211416
Albania,1989,35-54 years,female,7.0,288600.0,2.4255024255024256
Albania,1989,5-14 years,female,0.0,321900.0,0.0
Albania,1989,55-74 years,female,1.0,149600.0,0.6684491978609626
Albania,1989,75+ years,female,0.0,37000.0,0.0
Albania,1989,15-24 years,male,12.0,323500.0,3.7094281298299845
Albania,1989,25-34 years,male,18.0,283600.0,6.346967559943582
Albania,1989,35-54 years,male,15.0,318400.0,4.711055276381909
Albania,1989,5-14 years,male,0.0,349700.0,0.0
Albania,1989,55-74 years,male,6.0,142100.0,4.2223786066150595
Albania,1989,75+ years,male,2.0,22500.0,8.88888888888889
Albania,1990,15-24 years,female,,305900.0,
Albania,1990,25-34 years,female,,278000.0,
Albania,1990,35-54 years,female,,308300.0,
Albania,1990,5-14 years,female,,329600.0,
Albania,1990,55-74 years,female,,156400.0,
Albania,1990,75+ years,female,,37600.0,
Albania,1990,15-24 years,male,,325600.0,
Albania,1990,25-34 years,male,,295100.0,
Albania,1990,35-54 years,male,,337700.0,
Albania,1990,5-14 years,male,,355600.0,
Albania,1990,55-74 years,male,,149700.0,
Albania,1990,75+ years,male,,23200.0,
Albania,1991,15-24 years,female,,301100.0,
Albania,1991,25-34 years,female,,274700.0,
Albania,1991,35-54 years,female,,316500.0,
Albania,1991,5-14 years,female,,333300.0,
Albania,1991,55-74 years,female,,160800.0,
Albania,1991,75+ years,female,,38300.0,
Albania,1991,15-24 years,male,,302200.0,
Albania,1991,25-34 years,male,,276900.0,
Albania,1991,35-54 years,male,,342600.0,
Albania,1991,5-14 years,male,,359500.0,
Albania,1991,55-74 years,male,,154800.0,
Albania,1991,75+ years,male,,23600.0,
Albania,1992,15-24 years,female,7.0,292400.0,2.3939808481532148
Albania,1992,25-34 years,female,4.0,267400.0,1.4958863126402393
Albania,1992,35-54 years,female,2.0,323100.0,0.6190034045187248
Albania,1992,5-14 years,female,0.0,336700.0,0.0
Albania,1992,55-74 years,female,1.0,164900.0,0.6064281382656155
Albania,1992,75+ years,female,0.0,38700.0,0.0
Albania,1992,15-24 years,male,9.0,263700.0,3.4129692832764507
Albania,1992,25-34 years,male,7.0,245500.0,2.8513238289205702
Albania,1992,35-54 years,male,12.0,343800.0,3.4904013961605584
Albania,1992,5-14 years,male,0.0,362900.0,0.0
Albania,1992,55-74 years,male,5.0,159500.0,3.134796238244514
Albania,1992,75+ years,male,0.0,23900.0,0.0
Albania,1993,15-24 years,female,10.0,285300.0,3.505082369435682
Albania,1993,25-34 years,female,7.0,261800.0,2.6737967914438503
Albania,1993,35-54 years,female,7.0,331200.0,2.1135265700483092
Albania,1993,5-14 years,female,1.0,340300.0,0.2938583602703497
Albania,1993,55-74 years,female,2.0,169500.0,1.1799410029498525
Albania,1993,75+ years,female,0.0,39300.0,0.0
Albania,1993,15-24 years,male,18.0,243300.0,7.398273736128237
Albania,1993,25-34 years,male,9.0,230100.0,3.911342894393742
Albania,1993,35-54 years,male,10.0,350300.0,2.8546959748786755
Albania,1993,5-14 years,male,1.0,367000.0,0.2724795640326976
Albania,1993,55-74 years,male,7.0,165000.0,4.242424242424242
Albania,1993,75+ years,male,1.0,24200.0,4.132231404958678
Albania,1994,15-24 years,female,6.0,282600.0,2.1231422505307855
Albania,1994,25-34 years,female,4.0,261100.0,1.5319800842589044
Albania,1994,35-54 years,female,2.0,342500.0,0.5839416058394161
Albania,1994,5-14 years,female,0.0,344400.0,0.0
Albania,1994,55-74 years,female,1.0,174600.0,0.572737686139748
Albania,1994,75+ years,female,2.0,39900.0,5.012531328320803
Albania,1994,15-24 years,male,6.0,242200.0,2.477291494632535
Albania,1994,25-34 years,male,6.0,231400.0,2.592912705272256
Albania,1994,35-54 years,male,9.0,362800.0,2.4807056229327453
Albania,1994,5-14 years,male,1.0,371800.0,0.2689618074233459
Albania,1994,55-74 years,male,11.0,171400.0,6.417736289381563
Albania,1994,75+ years,male,2.0,24600.0,8.130081300813009
Albania,1995,15-24 years,female,13.0,283500.0,4.585537918871252
Albania,1995,25-34 years,female,7.0,264000.0,2.6515151515151514
Albania,1995,35-54 years,female,8.0,356400.0,2.244668911335578
Albania,1995,5-14 years,female,2.0,348700.0,0.5735589331803843
Albania,1995,55-74 years,female,2.0,180400.0,1.1086474501108647
Albania,1995,75+ years,female,2.0,40800.0,4.901960784313725
Albania,1995,15-24 years,male,11.0,241200.0,4.560530679933665
Albania,1995,25-34 years,male,13.0,232900.0,5.5817947617003005
Albania,1995,35-54 years,male,14.0,375900.0,3.7243947858473
Albania,1995,5-14 years,male,6.0,376500.0,1.593625498007968
Albania,1995,55-74 years,male,9.0,178000.0,5.056179775280899
Albania,1995,75+ years,male,1.0,25100.0,3.9840637450199203
Albania,1996,15-24 years,female,16.0,287700.0,5.561348627042057
Albania,1996,25-34 years,female,10.0,267900.0,3.7327360955580438
Albania,1996,35-54 years,female,9.0,362000.0,2.4861878453038675
Albania,1996,5-14 years,female,1.0,354100.0,0.2824060999717594
Albania,1996,55-74 years,female,1.0,183100.0,0.5461496450027308
Albania,1996,75+ years,female,2.0,41200.0,4.8543689320388355
Albania,1996,15-24 years,male,17.0,243600.0,6.9786535303776684
Albania,1996,25-34 years,male,14.0,235300.0,5.949851253718657
Albania,1996,35-54 years,male,12.0,379600.0,3.1612223393045307
Albania,1996,5-14 years,male,2.0,380400.0,0.5257623554153523
Albania,1996,55-74 years,male,3.0,179900.0,1.6675931072818233
Albania,1996,75+ years,male,2.0,25400.0,7.874015748031495
Albania,1997,15-24 years,female,21.0,294000.0,7.142857142857143
Albania,1997,25-34 years,female,16.0,273900.0,5.841548010222708
Albania,1997,35-54 years,female,7.0,370100.0,1.8913807079167793
Albania,1997,5-14 years,female,6.0,361800.0,1.658374792703151
Albania,1997,55-74 years,female,0.0,187000.0,0.0
Albania,1997,75+ years,female,2.0,42100.0,4.750593824228028
Albania,1997,15-24 years,male,33.0,244400.0,13.502454991816695
Albania,1997,25-34 years,male,36.0,236000.0,15.254237288135592
Albania,1997,35-54 years,male,30.0,380800.0,7.878151260504202
Albania,1997,5-14 years,male,4.0,381500.0,1.0484927916120577
Albania,1997,55-74 years,male,12.0,180300.0,6.655574043261231
Albania,1997,75+ years,male,3.0,25400.0,11.811023622047244
Albania,1998,15-24 years,female,32.0,295600.0,10.825439783491204
Albania,1998,25-34 years,female,10.0,275300.0,3.6324010170722847
Albania,1998,35-54 years,female,9.0,372100.0,2.418704649287826
Albania,1998,5-14 years,female,1.0,363800.0,0.2748763056624519
Albania,1998,55-74 years,female,6.0,188200.0,3.188097768331562
Albania,1998,75+ years,female,0.0,42300.0,0.0
Albania,1998,15-24 years,male,27.0,248800.0,10.85209003215434
Albania,1998,25-34 years,male,26.0,240400.0,10.8153078202995
Albania,1998,35-54 years,male,29.0,388200.0,7.470376094796497
Albania,1998,5-14 years,male,2.0,388400.0,0.5149330587023686
Albania,1998,55-74 years,male,9.0,183800.0,4.896626768226333
Albania,1998,75+ years,male,3.0,25800.0,11.627906976744187
Albania,1999,15-24 years,female,19.0,296800.0,6.401617250673854
Albania,1999,25-34 years,female,13.0,276500.0,4.701627486437613
Albania,1999,35-54 years,female,5.0,373600.0,1.3383297644539613
Albania,1999,5-14 years,female,1.0,365200.0,0.2738225629791895
Albania,1999,55-74 years,female,6.0,188800.0,3.1779661016949152
Albania,1999,75+ years,female,4.0,42400.0,9.433962264150942
Albania,1999,15-24 years,male,24.0,250600.0,9.577015163607342
Albania,1999,25-34 years,male,19.0,242300.0,7.841518778373916
Albania,1999,35-54 years,male,31.0,391100.0,7.926361544362056
Albania,1999,5-14 years,male,0.0,391300.0,0.0
Albania,1999,55-74 years,male,14.0,185200.0,7.559395248380129
Albania,1999,75+ years,male,3.0,25900.0,11.583011583011583
Albania,2000,15-24 years,female,6.0,263900.0,2.2735884804850324
Albania,2000,25-34 years,female,3.0,245800.0,1.2205044751830756
Albania,2000,35-54 years,female,5.0,332200.0,1.5051173991571343
Albania,2000,5-14 years,female,0.0,324700.0,0.0
Albania,2000,55-74 years,female,0.0,168000.0,0.0
Albania,2000,75+ years,female,2.0,37800.0,5.291005291005291
Albania,2000,15-24 years,male,5.0,240000.0,2.0833333333333335
Albania,2000,25-34 years,male,17.0,232000.0,7.3275862068965525
Albania,2000,35-54 years,male,4.0,374700.0,1.0675206832132373
Albania,2000,5-14 years,male,1.0,374900.0,0.2667377967457989
Albania,2000,55-74 years,male,10.0,177400.0,5.636978579481398
Albania,2000,75+ years,male,1.0,24900.0,4.016064257028113
Albania,2001,15-24 years,female,9.0,271359.0,3.3166395807767572
Albania,2001,25-34 years,female,4.0,222771.0,1.7955658501330964
Albania,2001,35-54 years,female,12.0,370191.0,3.24156989229884
Albania,2001,5-14 years,female,2.0,307356.0,0.6507112273715171
Albania,2001,55-74 years,female,6.0,189799.0,3.161238994936749
Albania,2001,75+ years,female,2.0,47254.0,4.232445930503238
Albania,2001,15-24 years,male,10.0,256039.0,3.905654997871418
Albania,2001,25-34 years,male,22.0,206484.0,10.65457856298793
Albania,2001,35-54 years,male,34.0,378826.0,8.975096746263455
Albania,2001,5-14 years,male,6.0,321556.0,1.8659269303014094
Albania,2001,55-74 years,male,11.0,196670.0,5.59312554024508
Albania,2001,75+ years,male,1.0,31044.0,3.2212343770132716
Albania,2002,15-24 years,female,14.0,275970.0,5.073015182809725
Albania,2002,25-34 years,female,7.0,223685.0,3.129400719762166
Albania,2002,35-54 years,female,15.0,375113.0,3.9987950297643646
Albania,2002,5-14 years,female,1.0,304850.0,0.3280301787764474
Albania,2002,55-74 years,female,4.0,191712.0,2.086463027875146
Albania,2002,75+ years,female,1.0,47407.0,2.1093931275971904
Albania,2002,15-24 years,male,15.0,263067.0,5.70196946025157
Albania,2002,25-34 years,male,23.0,206286.0,11.14956904491822
Albania,2002,35-54 years,male,35.0,382139.0,9.158970950360994
Albania,2002,5-14 years,male,1.0,319473.0,0.31301549739727613
Albania,2002,55-74 years,male,13.0,198130.0,6.561348609498814
